"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","924","Login with empty credentials","Google Chrome","Wed Apr 16 18:44:53 UTC 2025","passed","Wed Apr 16 18:44:54 UTC 2025","Login tests","login.spec.ts","",""
"","172","Verify posted message","Mobile Safari","Wed Apr 16 18:43:35 UTC 2025","skipped","Wed Apr 16 18:43:35 UTC 2025","Buzz tests","post.spec.ts","",""
"","959","Login with empty credentials","Mobile Safari","Wed Apr 16 18:43:31 UTC 2025","passed","Wed Apr 16 18:43:32 UTC 2025","Login tests","login.spec.ts","",""
"","164","Like a message","Mobile Chrome","Wed Apr 16 18:43:27 UTC 2025","skipped","Wed Apr 16 18:43:27 UTC 2025","Buzz tests","post.spec.ts","",""
"","1578","Login with valid credentials","Mobile Safari","Wed Apr 16 18:43:28 UTC 2025","passed","Wed Apr 16 18:43:30 UTC 2025","Login tests","login.spec.ts","",""
"","2065","Logout","Google Chrome","Wed Apr 16 18:44:54 UTC 2025","passed","Wed Apr 16 18:44:56 UTC 2025","Logout test","logout.spec.ts","",""
"","1516","Login with invalid credentials","webkit","Wed Apr 16 18:43:07 UTC 2025","passed","Wed Apr 16 18:43:08 UTC 2025","Login tests","login.spec.ts","",""
"","2204","Post a message","firefox","Wed Apr 16 18:42:57 UTC 2025","passed","Wed Apr 16 18:42:59 UTC 2025","Buzz tests","post.spec.ts","",""
"","178","Like a message","Mobile Safari","Wed Apr 16 18:43:35 UTC 2025","skipped","Wed Apr 16 18:43:35 UTC 2025","Buzz tests","post.spec.ts","",""
"","2583","Post a message","Microsoft Edge","Wed Apr 16 18:44:09 UTC 2025","passed","Wed Apr 16 18:44:11 UTC 2025","Buzz tests","post.spec.ts","",""
"","1594","Login with valid credentials","firefox","Wed Apr 16 18:42:50 UTC 2025","passed","Wed Apr 16 18:42:52 UTC 2025","Login tests","login.spec.ts","",""
"","968","Login with empty credentials","Microsoft Edge","Wed Apr 16 18:44:05 UTC 2025","passed","Wed Apr 16 18:44:06 UTC 2025","Login tests","login.spec.ts","",""
"","3545","Like a message","Microsoft Edge","Wed Apr 16 18:44:13 UTC 2025","passed","Wed Apr 16 18:44:17 UTC 2025","Buzz tests","post.spec.ts","",""
"","2054","Login with valid credentials","chromium","Wed Apr 16 18:42:29 UTC 2025","passed","Wed Apr 16 18:42:31 UTC 2025","Login tests","login.spec.ts","",""
"","175","Post a message","Mobile Safari","Wed Apr 16 18:43:34 UTC 2025","skipped","Wed Apr 16 18:43:35 UTC 2025","Buzz tests","post.spec.ts","",""
"","1450","Login with invalid credentials","Mobile Chrome","Wed Apr 16 18:43:22 UTC 2025","passed","Wed Apr 16 18:43:24 UTC 2025","Login tests","login.spec.ts","",""
"","2383","Verify posted message","Google Chrome","Wed Apr 16 18:44:58 UTC 2025","passed","Wed Apr 16 18:45:01 UTC 2025","Buzz tests","post.spec.ts","",""
"","1392","Login with invalid credentials","chromium","Wed Apr 16 18:42:37 UTC 2025","passed","Wed Apr 16 18:42:38 UTC 2025","Login tests","login.spec.ts","",""
"","167","Post a message","Mobile Chrome","Wed Apr 16 18:43:27 UTC 2025","skipped","Wed Apr 16 18:43:27 UTC 2025","Buzz tests","post.spec.ts","",""
"","2074","Logout","Mobile Safari","Wed Apr 16 18:43:32 UTC 2025","passed","Wed Apr 16 18:43:34 UTC 2025","Logout test","logout.spec.ts","",""
